"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20150930","SB0801",,"New Outpatient","Z9","d",668,,658,,529,,3,,8,,34,,84,
"20160930","SB0801",,"New Outpatient","Z9","d",593,,563,,487,,3,,5,,8,,60,
"20170930","SB0801",,"New Outpatient","Z9","d",653,,632,,537,,1,,12,,10,,72,
"20180930","SB0801",,"New Outpatient","Z9","d",708,,717,,580,,8,,31,,27,,71,
"20190930","SB0801",,"New Outpatient","Z9","d",725,,722,,612,,5,,23,,16,,66,
"20200930","SB0801",,"New Outpatient","Z9","d",569,,556,,433,,4,,20,,20,,79,
"20210930","SB0801",,"New Outpatient","Z9","d",696,,665,,556,,27,,3,,27,,52,
"20220930","SB0801",,"New Outpatient","Z9","d",877,,755,,620,,2,,34,,45,,54,
"20130331","SB0801",,"New Outpatient","Z9","d",530,,604,,530,,10,,2,,6,,56,
"20140331","SB0801",,"New Outpatient","Z9","d",644,,610,,486,,5,,36,,4,,79,
"20150331","SB0801",,"New Outpatient","Z9","d",661,,708,,509,,3,,57,,11,,128,
"20160331","SB0801",,"New Outpatient","Z9","d",677,,674,,562,,10,,8,,14,,80,
"20170331","SB0801",,"New Outpatient","Z9","d",575,,527,,461,,4,,11,,5,,46,
"20180331","SB0801",,"New Outpatient","Z9","d",719,,681,,578,,10,,27,,12,,54,
"20190331","SB0801",,"New Outpatient","Z9","d",752,,755,,647,,26,,5,,16,,61,
"20200331","SB0801",,"New Outpatient","Z9","d",710,,666,,543,,3,,20,,14,,86,
"20210331","SB0801",,"New Outpatient","Z9","d",658,,668,,557,,23,,6,,24,,58,
"20220331","SB0801",,"New Outpatient","Z9","d",819,,699,,568,,22,,17,,46,,46,
"20121231","SB0801",,"New Outpatient","Z9","d",597,,579,,517,,5,,2,,4,,51,
"20131231","SB0801",,"New Outpatient","Z9","d",575,,594,,462,,6,,1,,3,,122,
"20141231","SB0801",,"New Outpatient","Z9","d",789,,799,,544,,8,,75,,6,,166,
"20151231","SB0801",,"New Outpatient","Z9","d",694,,640,,556,,8,,9,,14,,53,
"20161231","SB0801",,"New Outpatient","Z9","d",541,,557,,488,,9,,8,,14,,38,
"20171231","SB0801",,"New Outpatient","Z9","d",685,,706,,602,,5,,22,,13,,64,
"20181231","SB0801",,"New Outpatient","Z9","d",663,,654,,526,,29,,12,,19,,68,
"20191231","SB0801",,"New Outpatient","Z9","d",705,,730,,622,,3,,15,,15,,75,
"20201231","SB0801",,"New Outpatient","Z9","d",675,,699,,574,,16,,10,,29,,70,
"20211231","SB0801",,"New Outpatient","Z9","d",750,,699,,574,,37,,9,,28,,51,
"20221231","SB0801",,"New Outpatient","Z9","d",1023,,768,,632,,6,,40,,40,,50,
"20130630","S08000015",,"New Outpatient","Z9","d",31642,,30087,,25391,,1834,,70,,1147,,1645,
"20140630","S08000015",,"New Outpatient","Z9","d",33375,,31832,,27084,,1860,,112,,1197,,1579,
"20150630","S08000015",,"New Outpatient","Z9","d",32728,,30709,,25949,,1664,,45,,1139,,1912,
"20160630","S08000015",,"New Outpatient","Z9","d",33755,,32054,,26962,,1805,,46,,1238,,2003,
"20170630","S08000015",,"New Outpatient","Z9","d",33035,,33427,,28171,,1793,,46,,1362,,2055,
"20180630","S08000015",,"New Outpatient","Z9","d",33843,,31543,,26217,,1580,,127,,1386,,2233,
"20190630","S08000015",,"New Outpatient","Z9","d",33979,,34618,,28810,,1794,,133,,1464,,2417,
"20200630","S08000015",,"New Outpatient","Z9","d",12413,,10114,,8411,,248,,32,,304,,1119,
"20210630","S08000015",,"New Outpatient","Z9","d",28857,,26394,,21541,,973,,66,,969,,2845,
"20220630","S08000015",,"New Outpatient","Z9","d",29678,,28221,,22754,,1206,,103,,993,,3165,
"20130930","S08000015",,"New Outpatient","Z9","d",31494,,31334,,26616,,1860,,55,,1139,,1664,
"20140930","S08000015",,"New Outpatient","Z9","d",32758,,32851,,27622,,1965,,100,,1192,,1972,
"20150930","S08000015",,"New Outpatient","Z9","d",32914,,31359,,26559,,1750,,24,,1235,,1791,
"20160930","S08000015",,"New Outpatient","Z9","d",31893,,31625,,26646,,1842,,23,,1195,,1919,
"20170930","S08000015",,"New Outpatient","Z9","d",31670,,31915,,27070,,1718,,54,,1374,,1699,
"20180930","S08000015",,"New Outpatient","Z9","d",32521,,31634,,26541,,1724,,158,,1298,,1913,
"20190930","S08000015",,"New Outpatient","Z9","d",32985,,33413,,27663,,1611,,139,,1384,,2616,
"20200930","S08000015",,"New Outpatient","Z9","d",22755,,16272,,13252,,542,,48,,455,,1975,
"20210930","S08000015",,"New Outpatient","Z9","d",27667,,26061,,21145,,1183,,165,,864,,2704,
"20220930","S08000015",,"New Outpatient","Z9","d",30217,,28568,,22758,,1031,,148,,995,,3636,
"20130331","S08000015",,"New Outpatient","Z9","d",30492,,30317,,26015,,1543,,34,,1057,,1668,
"20140331","S08000015",,"New Outpatient","Z9","d",33337,,32026,,27547,,1730,,70,,1173,,1506,
"20150331","S08000015",,"New Outpatient","Z9","d",32288,,33155,,28189,,1857,,43,,1329,,1737,
"20160331","S08000015",,"New Outpatient","Z9","d",31732,,30861,,26157,,1748,,63,,1219,,1674,
"20170331","S08000015",,"New Outpatient","Z9","d",34442,,34898,,29708,,1738,,21,,1375,,2056,
"20180331","S08000015",,"New Outpatient","Z9","d",32168,,32545,,27141,,1702,,112,,1450,,2140,
"20190331","S08000015",,"New Outpatient","Z9","d",33944,,33282,,27992,,1675,,125,,1522,,1968,
"20200331","S08000015",,"New Outpatient","Z9","d",28834,,29824,,24633,,1350,,126,,1107,,2608,
"20210331","S08000015",,"New Outpatient","Z9","d",23938,,21395,,17113,,640,,247,,778,,2617,
"20220331","S08000015",,"New Outpatient","Z9","d",29191,,26907,,21403,,943,,228,,960,,3373,
"20121231","S08000015",,"New Outpatient","Z9","d",30140,,30748,,26278,,1654,,65,,1033,,1718,
"20131231","S08000015",,"New Outpatient","Z9","d",31971,,32118,,27638,,1809,,75,,1135,,1461,
"20141231","S08000015",,"New Outpatient","Z9","d",31641,,30710,,25752,,1937,,41,,991,,1989,
"20151231","S08000015",,"New Outpatient","Z9","d",31675,,34159,,29009,,1958,,68,,1266,,1858,
"20161231","S08000015",,"New Outpatient","Z9","d",30781,,31659,,26829,,1686,,49,,1341,,1754,
"20171231","S08000015",,"New Outpatient","Z9","d",31479,,32801,,27710,,1874,,111,,1464,,1642,
"20181231","S08000015",,"New Outpatient","Z9","d",33083,,32912,,27476,,1705,,125,,1297,,2309,
"20191231","S08000015",,"New Outpatient","Z9","d",31470,,34854,,28992,,1773,,129,,1270,,2690,
"20201231","S08000015",,"New Outpatient","Z9","d",23515,,19922,,16204,,705,,127,,706,,2180,
"20211231","S08000015",,"New Outpatient","Z9","d",27431,,28230,,23220,,1453,,54,,1003,,2500,
"20221231","S08000015",,"New Outpatient","Z9","d",29301,,30645,,23558,,1066,,148,,883,,4990,
"20130630","S08000016",,"New Outpatient","Z9","d",8637,,7717,,6850,,538,,17,,78,,234,
"20140630","S08000016",,"New Outpatient","Z9","d",8304,,8058,,7375,,307,,138,,81,,157,
"20150630","S08000016",,"New Outpatient","Z9","d",8649,,8272,,7407,,379,,16,,309,,161,
"20160630","S08000016",,"New Outpatient","Z9","d",8774,,8476,,7672,,338,,6,,281,,179,
"20170630","S08000016",,"New Outpatient","Z9","d",8355,,8256,,7417,,349,,14,,272,,204,
"20180630","S08000016",,"New Outpatient","Z9","d",9105,,9377,,8430,,422,,11,,278,,236,
"20190630","S08000016",,"New Outpatient","Z9","d",9492,,8022,,7153,,386,,8,,287,,188,
"20200630","S08000016",,"New Outpatient","Z9","d",2899,,2919,,2324,,270,,0,,74,,251,
"20210630","S08000016",,"New Outpatient","Z9","d",7502,,5828,,4874,,311,,13,,194,,436,
"20220630","S08000016",,"New Outpatient","Z9","d",7858,,6887,,5831,,342,,11,,205,,498,
"20130930","S08000016",,"New Outpatient","Z9","d",8325,,8594,,7625,,598,,36,,89,,246,
"20140930","S08000016",,"New Outpatient","Z9","d",7994,,7488,,6954,,294,,28,,73,,139,
"20150930","S08000016",,"New Outpatient","Z9","d",8578,,8767,,7902,,396,,13,,313,,143,
"20160930","S08000016",,"New Outpatient","Z9","d",8587,,8382,,7641,,317,,7,,263,,154,
"20170930","S08000016",,"New Outpatient","Z9","d",8472,,8168,,7254,,387,,23,,313,,191,
"20180930","S08000016",,"New Outpatient","Z9","d",8777,,8092,,7082,,445,,25,,316,,224,
"20190930","S08000016",,"New Outpatient","Z9","d",8671,,9725,,8618,,507,,24,,376,,200,
"20200930","S08000016",,"New Outpatient","Z9","d",6048,,4446,,3804,,194,,8,,112,,328,
"20210930","S08000016",,"New Outpatient","Z9","d",7172,,6201,,5204,,288,,17,,225,,467,
"20220930","S08000016",,"New Outpatient","Z9","d",7350,,6935,,5709,,324,,18,,291,,593,
"20130331","S08000016",,"New Outpatient","Z9","d",7575,,7314,,6406,,561,,85,,69,,193,
"20140331","S08000016",,"New Outpatient","Z9","d",7827,,8111,,7162,,646,,94,,73,,136,
"20150331","S08000016",,"New Outpatient","Z9","d",8068,,8400,,7663,,320,,4,,276,,137,
"20160331","S08000016",,"New Outpatient","Z9","d",8353,,8849,,7994,,330,,10,,333,,182,
"20170331","S08000016",,"New Outpatient","Z9","d",8541,,8032,,7156,,347,,17,,314,,198,
"20180331","S08000016",,"New Outpatient","Z9","d",8408,,9012,,7995,,419,,19,,337,,242,
"20190331","S08000016",,"New Outpatient","Z9","d",9118,,9747,,8726,,430,,21,,356,,214,
"20200331","S08000016",,"New Outpatient","Z9","d",6849,,7338,,6537,,325,,9,,273,,194,
"20210331","S08000016",,"New Outpatient","Z9","d",5751,,5172,,4412,,278,,5,,214,,263,
"20220331","S08000016",,"New Outpatient","Z9","d",7458,,8193,,6781,,405,,9,,402,,596,
"20121231","S08000016",,"New Outpatient","Z9","d",7589,,7580,,6669,,509,,126,,61,,215,
"20131231","S08000016",,"New Outpatient","Z9","d",7935,,8463,,7418,,680,,40,,151,,174,
"20141231","S08000016",,"New Outpatient","Z9","d",8100,,7934,,7311,,347,,3,,93,,180,
"20151231","S08000016",,"New Outpatient","Z9","d",8259,,8133,,7374,,349,,12,,270,,128,
"20161231","S08000016",,"New Outpatient","Z9","d",7872,,7830,,7079,,285,,18,,258,,190,
"20171231","S08000016",,"New Outpatient","Z9","d",8196,,8692,,7770,,341,,18,,347,,216,
"20181231","S08000016",,"New Outpatient","Z9","d",9043,,8840,,7901,,418,,21,,303,,197,
"20191231","S08000016",,"New Outpatient","Z9","d",7805,,8997,,8076,,424,,10,,293,,194,
"20201231","S08000016",,"New Outpatient","Z9","d",5926,,5046,,4318,,218,,12,,162,,336,
"20211231","S08000016",,"New Outpatient","Z9","d",7502,,6839,,5724,,381,,9,,291,,434,
"20221231","S08000016",,"New Outpatient","Z9","d",7489,,7158,,5778,,385,,11,,359,,625,
"20130630","S08000017",,"New Outpatient","Z9","d",10961,,10481,,8773,,564,,19,,1108,,17,
"20140630","S08000017",,"New Outpatient","Z9","d",11758,,10861,,9075,,489,,18,,1262,,17,
"20150630","S08000017",,"New Outpatient","Z9","d",12101,,11128,,9150,,558,,12,,1378,,30,
"20160630","S08000017",,"New Outpatient","Z9","d",12261,,12323,,9878,,601,,9,,1791,,44,
"20170630","S08000017",,"New Outpatient","Z9","d",11711,,10646,,8342,,519,,11,,1737,,37,
"20180630","S08000017",,"New Outpatient","Z9","d",12511,,12444,,9322,,567,,19,,2508,,28,
"20190630","S08000017",,"New Outpatient","Z9","d",12720,,11959,,8712,,560,,19,,2641,,27,
"20200630","S08000017",,"New Outpatient","Z9","d",5570,,5526,,2678,,146,,11,,2670,,21,
"20210630","S08000017",,"New Outpatient","Z9","d",13573,,12672,,8179,,557,,36,,3865,,35,
"20220630","S08000017",,"New Outpatient","Z9","d",12892,,13012,,7834,,498,,31,,4606,,43,
"20130930","S08000017",,"New Outpatient","Z9","d",10682,,10786,,9089,,585,,9,,1088,,15,
"20140930","S08000017",,"New Outpatient","Z9","d",11449,,11547,,9595,,587,,26,,1319,,20,
"20150930","S08000017",,"New Outpatient","Z9","d",11627,,12332,,10084,,692,,26,,1501,,29,
"20160930","S08000017",,"New Outpatient","Z9","d",11633,,11995,,9462,,617,,15,,1829,,72,
"20170930","S08000017",,"New Outpatient","Z9","d",11465,,11626,,9164,,599,,15,,1826,,22,
"20180930","S08000017",,"New Outpatient","Z9","d",11589,,11661,,8750,,570,,23,,2293,,25,
"20190930","S08000017",,"New Outpatient","Z9","d",12272,,12221,,8932,,602,,22,,2635,,30,
"20200930","S08000017",,"New Outpatient","Z9","d",10442,,8889,,5130,,346,,29,,3349,,35,
"20210930","S08000017",,"New Outpatient","Z9","d",12838,,13248,,8331,,628,,23,,4205,,61,
"20220930","S08000017",,"New Outpatient","Z9","d",12829,,12423,,7190,,469,,19,,4690,,55,
"20130331","S08000017",,"New Outpatient","Z9","d",10343,,10217,,8728,,558,,22,,893,,16,
"20140331","S08000017",,"New Outpatient","Z9","d",10965,,11313,,9526,,576,,13,,1171,,27,
"20150331","S08000017",,"New Outpatient","Z9","d",11219,,10767,,8860,,532,,17,,1331,,27,
"20160331","S08000017",,"New Outpatient","Z9","d",11853,,11360,,9201,,564,,9,,1552,,34,
"20170331","S08000017",,"New Outpatient","Z9","d",11839,,11346,,8930,,549,,12,,1817,,38,
"20180331","S08000017",,"New Outpatient","Z9","d",11604,,12020,,8925,,702,,12,,2342,,39,
"20190331","S08000017",,"New Outpatient","Z9","d",11857,,12010,,8952,,532,,32,,2462,,32,
"20200331","S08000017",,"New Outpatient","Z9","d",11323,,12171,,8423,,611,,24,,3076,,37,
"20210331","S08000017",,"New Outpatient","Z9","d",10271,,9302,,5461,,357,,19,,3415,,50,
"20220331","S08000017",,"New Outpatient","Z9","d",12558,,12412,,7637,,482,,16,,4222,,55,
"20121231","S08000017",,"New Outpatient","Z9","d",10108,,10129,,8615,,543,,48,,910,,13,
"20131231","S08000017",,"New Outpatient","Z9","d",10724,,10372,,8633,,539,,13,,1175,,12,
"20141231","S08000017",,"New Outpatient","Z9","d",10912,,11160,,9203,,570,,19,,1355,,13,
"20151231","S08000017",,"New Outpatient","Z9","d",11366,,11694,,9563,,630,,10,,1455,,36,
"20161231","S08000017",,"New Outpatient","Z9","d",11024,,11805,,9312,,588,,16,,1835,,54,
"20171231","S08000017",,"New Outpatient","Z9","d",10928,,11127,,8467,,654,,12,,1955,,39,
"20181231","S08000017",,"New Outpatient","Z9","d",11611,,11891,,8824,,542,,30,,2467,,28,
"20191231","S08000017",,"New Outpatient","Z9","d",12418,,12423,,9112,,615,,16,,2656,,24,
"20201231","S08000017",,"New Outpatient","Z9","d",10786,,10413,,6447,,541,,33,,3356,,36,
"20211231","S08000017",,"New Outpatient","Z9","d",12327,,11677,,7248,,495,,23,,3865,,46,
"20221231","S08000017",,"New Outpatient","Z9","d",12563,,12634,,7658,,510,,9,,4409,,48,
"20130630","S08000029",,"New Outpatient","Z9","d",25843,,25277,,21695,,1419,,1018,,741,,404,
"20140630","S08000029",,"New Outpatient","Z9","d",24546,,23989,,20541,,1749,,500,,721,,478,
"20150630","S08000029",,"New Outpatient","Z9","d",25683,,25385,,21716,,1780,,430,,934,,525,
"20160630","S08000029",,"New Outpatient","Z9","d",25909,,25205,,22280,,1414,,198,,831,,482,
"20170630","S08000029",,"New Outpatient","Z9","d",26276,,22391,,19400,,972,,121,,699,,1199,
"20180630","S08000029",,"New Outpatient","Z9","d",27846,,27382,,23666,,1255,,296,,923,,1242,
"20190630","S08000029",,"New Outpatient","Z9","d",27910,,26691,,22980,,1256,,270,,855,,1330,
"20200630","S08000029",,"New Outpatient","Z9","d",8386,,7843,,6321,,241,,157,,338,,786,
"20210630","S08000029",,"New Outpatient","Z9","d",24225,,22710,,18666,,1174,,230,,869,,1771,
"20220630","S08000029",,"New Outpatient","Z9","d",25135,,22318,,18374,,1133,,314,,731,,1766,
"20130930","S08000029",,"New Outpatient","Z9","d",25778,,25397,,21586,,1632,,980,,811,,388,
"20140930","S08000029",,"New Outpatient","Z9","d",25251,,24063,,20552,,1632,,475,,886,,518,
"20150930","S08000029",,"New Outpatient","Z9","d",24553,,25728,,22126,,1867,,303,,937,,495,
"20160930","S08000029",,"New Outpatient","Z9","d",22960,,23816,,21030,,1336,,186,,752,,512,
"20170930","S08000029",,"New Outpatient","Z9","d",27000,,27023,,23122,,1666,,209,,848,,1178,
"20180930","S08000029",,"New Outpatient","Z9","d",26627,,27320,,23335,,1256,,337,,910,,1482,
"20190930","S08000029",,"New Outpatient","Z9","d",27805,,27569,,23624,,1291,,216,,955,,1483,
"20200930","S08000029",,"New Outpatient","Z9","d",17627,,13903,,11235,,695,,238,,522,,1213,
"20210930","S08000029",,"New Outpatient","Z9","d",24414,,23652,,19632,,1114,,282,,877,,1747,
"20220930","S08000029",,"New Outpatient","Z9","d",25454,,23138,,18847,,1252,,281,,889,,1869,
"20130331","S08000029",,"New Outpatient","Z9","d",24293,,24156,,20612,,1451,,973,,789,,331,
"20140331","S08000029",,"New Outpatient","Z9","d",24390,,23034,,19819,,1510,,589,,681,,435,
"20150331","S08000029",,"New Outpatient","Z9","d",25487,,25579,,21792,,1829,,562,,934,,462,
"20160331","S08000029",,"New Outpatient","Z9","d",24449,,24445,,21648,,1290,,189,,893,,425,
"20170331","S08000029",,"New Outpatient","Z9","d",22051,,21839,,19312,,1232,,175,,619,,501,
"20180331","S08000029",,"New Outpatient","Z9","d",26158,,26141,,22723,,1277,,174,,890,,1077,
"20190331","S08000029",,"New Outpatient","Z9","d",26576,,26894,,23497,,1229,,251,,907,,1010,
"20200331","S08000029",,"New Outpatient","Z9","d",22315,,24123,,20672,,1096,,173,,852,,1330,
"20210331","S08000029",,"New Outpatient","Z9","d",19237,,16721,,13512,,716,,349,,768,,1376,
"20220331","S08000029",,"New Outpatient","Z9","d",23074,,22363,,18454,,1158,,342,,793,,1616,
"20121231","S08000029",,"New Outpatient","Z9","d",24330,,25035,,20876,,1578,,1474,,738,,369,
"20131231","S08000029",,"New Outpatient","Z9","d",24390,,25009,,21446,,1631,,667,,764,,501,
"20141231","S08000029",,"New Outpatient","Z9","d",25043,,25056,,21408,,1784,,500,,845,,519,
"20151231","S08000029",,"New Outpatient","Z9","d",23565,,25708,,22375,,1588,,395,,944,,406,
"20161231","S08000029",,"New Outpatient","Z9","d",21016,,21589,,19223,,1151,,133,,629,,453,
"20171231","S08000029",,"New Outpatient","Z9","d",25973,,26994,,23071,,1525,,180,,877,,1341,
"20181231","S08000029",,"New Outpatient","Z9","d",25567,,26113,,22735,,1244,,281,,861,,992,
"20191231","S08000029",,"New Outpatient","Z9","d",24033,,25671,,22088,,1272,,198,,810,,1303,
"20201231","S08000029",,"New Outpatient","Z9","d",19528,,18548,,15014,,1045,,191,,741,,1557,
"20211231","S08000029",,"New Outpatient","Z9","d",21945,,22905,,18953,,1197,,361,,795,,1599,
"20221231","S08000029",,"New Outpatient","Z9","d",23394,,23581,,19166,,1253,,392,,887,,1883,
"20130630","S08000019",,"New Outpatient","Z9","d",22269,,21553,,16962,,1633,,478,,2197,,283,
"20140630","S08000019",,"New Outpatient","Z9","d",22788,,23118,,17884,,1844,,845,,2247,,298,
"20150630","S08000019",,"New Outpatient","Z9","d",23295,,22464,,17886,,1819,,473,,2000,,286,
"20160630","S08000019",,"New Outpatient","Z9","d",23485,,21093,,16380,,1686,,471,,2351,,205,
"20170630","S08000019",,"New Outpatient","Z9","d",23521,,23096,,17982,,1693,,479,,2714,,228,
"20180630","S08000019",,"New Outpatient","Z9","d",23506,,22907,,17912,,1728,,526,,2565,,176,
"20190630","S08000019",,"New Outpatient","Z9","d",22982,,20825,,17432,,461,,98,,1260,,1574,
"20200630","S08000019",,"New Outpatient","Z9","d",7826,,7863,,6525,,2,,0,,267,,1069,
"20210630","S08000019",,"New Outpatient","Z9","d",19775,,17687,,14988,,3,,5,,709,,1982,
"20220630","S08000019",,"New Outpatient","Z9","d",20509,,20681,,17615,,6,,130,,809,,2121,
"20130930","S08000019",,"New Outpatient","Z9","d",21888,,21866,,16897,,1793,,523,,2277,,376,
"20140930","S08000019",,"New Outpatient","Z9","d",22331,,22758,,18070,,1756,,503,,2167,,262,
"20150930","S08000019",,"New Outpatient","Z9","d",23516,,23159,,18305,,1809,,539,,2222,,284,
"20160930","S08000019",,"New Outpatient","Z9","d",22068,,22297,,17141,,1705,,430,,2789,,232,
"20170930","S08000019",,"New Outpatient","Z9","d",23219,,23238,,18013,,1852,,508,,2656,,209,
"20180930","S08000019",,"New Outpatient","Z9","d",23220,,21692,,16489,,1602,,511,,2925,,165,
"20190930","S08000019",,"New Outpatient","Z9","d",22620,,21369,,17888,,11,,3,,848,,2619,
"20200930","S08000019",,"New Outpatient","Z9","d",14952,,11938,,10214,,3,,1,,400,,1320,
"20210930","S08000019",,"New Outpatient","Z9","d",20095,,18914,,16287,,3,,4,,528,,2092,
"20220930","S08000019",,"New Outpatient","Z9","d",20911,,19179,,16780,,9,,167,,898,,1325,
"20130331","S08000019",,"New Outpatient","Z9","d",20831,,19987,,15732,,1608,,486,,1909,,252,
"20140331","S08000019",,"New Outpatient","Z9","d",22382,,23232,,18441,,2015,,753,,1814,,209,
"20150331","S08000019",,"New Outpatient","Z9","d",22159,,22365,,17599,,1744,,462,,2248,,312,
"20160331","S08000019",,"New Outpatient","Z9","d",21417,,21300,,16942,,1652,,416,,2077,,213,
"20170331","S08000019",,"New Outpatient","Z9","d",22975,,23861,,18824,,1947,,383,,2506,,201,
"20180331","S08000019",,"New Outpatient","Z9","d",22047,,22204,,17403,,1738,,474,,2394,,195,
"20190331","S08000019",,"New Outpatient","Z9","d",23392,,25439,,20216,,1795,,492,,2724,,212,
"20200331","S08000019",,"New Outpatient","Z9","d",18333,,19922,,16974,,4,,2,,721,,2221,
