_id,QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberSeen,NumberSeenQF,WaitedOver12Weeks,WaitedOver12WeeksQF,Median,MedianQF,90thPercentile,90thPercentileQF
178,20160930,S08000019,"",New Outpatient,Z9,d,17141,"",5303,"",41,"",146,""
179,20170930,S08000019,"",New Outpatient,Z9,d,18013,"",3647,"",38,"",131,""
180,20180930,S08000019,"",New Outpatient,Z9,d,16489,"",3454,"",36,"",127,""
181,20190930,S08000019,"",New Outpatient,Z9,d,17888,"",4036,"",42,"",114,""
182,20200930,S08000019,"",New Outpatient,Z9,d,10214,"",2735,"",20,"",196,""
183,20210930,S08000019,"",New Outpatient,Z9,d,16287,"",4564,"",33,"",226,""
184,20220930,S08000019,"",New Outpatient,Z9,d,16780,"",4600,"",33,"",169,""
185,20130331,S08000019,"",New Outpatient,Z9,d,15732,"",3526,"",41,"",110,""
186,20140331,S08000019,"",New Outpatient,Z9,d,18441,"",4264,"",42,"",125,""
187,20150331,S08000019,"",New Outpatient,Z9,d,17599,"",2577,"",39,"",96,""
188,20160331,S08000019,"",New Outpatient,Z9,d,16942,"",4710,"",40,"",128,""
189,20170331,S08000019,"",New Outpatient,Z9,d,18824,"",5698,"",42,"",153,""
190,20180331,S08000019,"",New Outpatient,Z9,d,17403,"",4617,"",42,"",126,""
191,20190331,S08000019,"",New Outpatient,Z9,d,20216,"",5665,"",41,"",134,""
192,20200331,S08000019,"",New Outpatient,Z9,d,16974,"",4340,"",41,"",132,""
193,20210331,S08000019,"",New Outpatient,Z9,d,13404,"",3868,"",27,"",239,""
194,20220331,S08000019,"",New Outpatient,Z9,d,17680,"",5318,"",35,"",232,""
195,20121231,S08000019,"",New Outpatient,Z9,d,16354,"",2471,"",41,"",96,""
196,20131231,S08000019,"",New Outpatient,Z9,d,17848,"",4598,"",42,"",132,""
197,20141231,S08000019,"",New Outpatient,Z9,d,16701,"",1789,"",34,"",87,""
198,20151231,S08000019,"",New Outpatient,Z9,d,16844,"",3045,"",37,"",104,""
199,20161231,S08000019,"",New Outpatient,Z9,d,16499,"",4970,"",41,"",155,""
200,20171231,S08000019,"",New Outpatient,Z9,d,17604,"",4456,"",42,"",147,""
201,20181231,S08000019,"",New Outpatient,Z9,d,19030,"",5586,"",37,"",146,""
202,20191231,S08000019,"",New Outpatient,Z9,d,18923,"",5240,"",44,"",126,""
203,20201231,S08000019,"",New Outpatient,Z9,d,12660,"",3332,"",22,"",241,""
204,20211231,S08000019,"",New Outpatient,Z9,d,17129,"",4816,"",35,"",207,""
205,20221231,S08000019,"",New Outpatient,Z9,d,16123,"",5068,"",37,"",190,""
206,20130630,S08000020,"",New Outpatient,Z9,d,29854,"",95,"",45,"",83,""
207,20140630,S08000020,"",New Outpatient,Z9,d,29373,"",1177,"",46,"",83,""
208,20150630,S08000020,"",New Outpatient,Z9,d,30585,"",6096,"",48,"",130.600000000002,""
209,20160630,S08000020,"",New Outpatient,Z9,d,30090,"",6484,"",49,"",127,""
210,20170630,S08000020,"",New Outpatient,Z9,d,27071,"",7535,"",48,"",160,""
211,20180630,S08000020,"",New Outpatient,Z9,d,30006,"",10521,"",52,"",206,""
212,20190630,S08000020,"",New Outpatient,Z9,d,30989,"",9844,"",49,"",202,""
213,20200630,S08000020,"",New Outpatient,Z9,d,14276,"",3223,"",19,"",162,""
214,20210630,S08000020,"",New Outpatient,Z9,d,26065,"",7235,"",37,"",268,""
215,20220630,S08000020,"",New Outpatient,Z9,d,28177,"",8406,"",43,"",223,""
216,20130930,S08000020,"",New Outpatient,Z9,d,28207,"",204,"",48,"",83,""
217,20140930,S08000020,"",New Outpatient,Z9,d,26320,"",1986,"",47,"",83,""
218,20150930,S08000020,"",New Outpatient,Z9,d,29315,"",6923,"",51,"",160,""
219,20160930,S08000020,"",New Outpatient,Z9,d,28446,"",9012,"",56,"",142,""
220,20170930,S08000020,"",New Outpatient,Z9,d,26468,"",8641,"",50,"",181,""
221,20180930,S08000020,"",New Outpatient,Z9,d,28193,"",9501,"",54,"",200,""
222,20190930,S08000020,"",New Outpatient,Z9,d,32819,"",11549,"",52,"",195,""
223,20200930,S08000020,"",New Outpatient,Z9,d,17542,"",5256,"",28,"",215,""
224,20210930,S08000020,"",New Outpatient,Z9,d,25691,"",7070,"",38,"",241,""
225,20220930,S08000020,"",New Outpatient,Z9,d,27849,"",8429,"",44,"",212,""
226,20130331,S08000020,"",New Outpatient,Z9,d,28454,"",103,"",48,"",83,""
227,20140331,S08000020,"",New Outpatient,Z9,d,29067,"",1032,"",46,"",83,""
228,20150331,S08000020,"",New Outpatient,Z9,d,30075,"",5732,"",49,"",120,""
229,20160331,S08000020,"",New Outpatient,Z9,d,30819,"",7066,"",49,"",134,""
230,20170331,S08000020,"",New Outpatient,Z9,d,30942,"",9941,"",52,"",174,""
231,20180331,S08000020,"",New Outpatient,Z9,d,30582,"",11631,"",56,"",217,""
232,20190331,S08000020,"",New Outpatient,Z9,d,31043,"",11175,"",52,"",218,""
233,20200331,S08000020,"",New Outpatient,Z9,d,30598,"",8238,"",45,"",165,""
234,20210331,S08000020,"",New Outpatient,Z9,d,21882,"",5527,"",35,"",202,""
235,20220331,S08000020,"",New Outpatient,Z9,d,26677,"",8529,"",43,"",256,""
236,20121231,S08000020,"",New Outpatient,Z9,d,29032,"",48,"",46,"",83,""
237,20131231,S08000020,"",New Outpatient,Z9,d,29558,"",561,"",47,"",83,""
238,20141231,S08000020,"",New Outpatient,Z9,d,30280,"",4048,"",48,"",104.100000000002,""
239,20151231,S08000020,"",New Outpatient,Z9,d,32918,"",9552,"",55,"",164,""
240,20161231,S08000020,"",New Outpatient,Z9,d,31193,"",10682,"",56,"",166,""
241,20171231,S08000020,"",New Outpatient,Z9,d,30394,"",12110,"",58,"",225,""
242,20181231,S08000020,"",New Outpatient,Z9,d,30453,"",10608,"",53,"",209,""
243,20191231,S08000020,"",New Outpatient,Z9,d,32623,"",11008,"",48,"",186,""
244,20201231,S08000020,"",New Outpatient,Z9,d,21935,"",6130,"",33,"",245,""
245,20211231,S08000020,"",New Outpatient,Z9,d,26894,"",8000,"",40,"",275,""
246,20221231,S08000020,"",New Outpatient,Z9,d,30037,"",9333,"",45,"",248,""
247,20130630,S08000022,"",New Outpatient,Z9,d,16670,"",1368,"",35,"",84,""
248,20140630,S08000022,"",New Outpatient,Z9,d,13060,"",2315,"",43,"",100,""
249,20150630,S08000022,"",New Outpatient,Z9,d,15583,"",3404,"",41,"",159,""
250,20160630,S08000022,"",New Outpatient,Z9,d,16281,"",3632,"",39,"",215,""
251,20170630,S08000022,"",New Outpatient,Z9,d,17084,"",5036,"",43,"",209,""
252,20180630,S08000022,"",New Outpatient,Z9,d,17319,"",3823,"",42,"",123,""
253,20190630,S08000022,"",New Outpatient,Z9,d,15547,"",3318,"",41,"",112,""
254,20200630,S08000022,"",New Outpatient,Z9,d,5938,"",2141,"",49,"",140,""
255,20210630,S08000022,"",New Outpatient,Z9,d,11940,"",3567,"",41,"",244.1,""
256,20220630,S08000022,"",New Outpatient,Z9,d,11505,"",3733,"",43,"",236,""
257,20130930,S08000022,"",New Outpatient,Z9,d,16570,"",2108,"",40,"",90,""
258,20140930,S08000022,"",New Outpatient,Z9,d,12747,"",2825,"",44,"",118,""
259,20150930,S08000022,"",New Outpatient,Z9,d,16052,"",3483,"",41,"",149,""
260,20160930,S08000022,"",New Outpatient,Z9,d,14953,"",3755,"",40,"",224,""
261,20170930,S08000022,"",New Outpatient,Z9,d,16574,"",4968,"",43,"",198,""
262,20180930,S08000022,"",New Outpatient,Z9,d,15932,"",3147,"",43,"",116,""
263,20190930,S08000022,"",New Outpatient,Z9,d,16849,"",4716,"",49,"",126,""
264,20200930,S08000022,"",New Outpatient,Z9,d,8577,"",3181,"",41,"",215,""
265,20210930,S08000022,"",New Outpatient,Z9,d,10916,"",3224,"",41,"",193,""
266,20220930,S08000022,"",New Outpatient,Z9,d,13188,"",5207,"",58,"",311,""
267,20130331,S08000022,"",New Outpatient,Z9,d,15514,"",1291,"",33,"",84,""
268,20140331,S08000022,"",New Outpatient,Z9,d,15842,"",2676,"",40,"",104,""
269,20150331,S08000022,"",New Outpatient,Z9,d,14954,"",4134,"",45,"",147,""
270,20160331,S08000022,"",New Outpatient,Z9,d,15370,"",3500,"",41,"",174,""
271,20170331,S08000022,"",New Outpatient,Z9,d,17445,"",5930,"",45,"",225,""
272,20180331,S08000022,"",New Outpatient,Z9,d,16503,"",4128,"",41,"",143,""
273,20190331,S08000022,"",New Outpatient,Z9,d,17184,"",4371,"",44,"",123,""
274,20200331,S08000022,"",New Outpatient,Z9,d,14007,"",3266,"",45,"",123,""
275,20210331,S08000022,"",New Outpatient,Z9,d,10171,"",2961,"",40,"",194,""
276,20220331,S08000022,"",New Outpatient,Z9,d,12705,"",4822,"",49,"",283,""
277,20121231,S08000022,"",New Outpatient,Z9,d,15523,"",939,"",33,"",81,""
278,20131231,S08000022,"",New Outpatient,Z9,d,15843,"",1959,"",39,"",91,""
279,20141231,S08000022,"",New Outpatient,Z9,d,14260,"",3727,"",43,"",139,""
280,20151231,S08000022,"",New Outpatient,Z9,d,15905,"",3719,"",42,"",168,""
281,20161231,S08000022,"",New Outpatient,Z9,d,15952,"",4484,"",40,"",230,""
282,20171231,S08000022,"",New Outpatient,Z9,d,16383,"",4690,"",42,"",173,""
283,20181231,S08000022,"",New Outpatient,Z9,d,16929,"",3971,"",42,"",123,""
284,20191231,S08000022,"",New Outpatient,Z9,d,16339,"",4183,"",49,"",129,""
285,20201231,S08000022,"",New Outpatient,Z9,d,10347,"",3280,"",45,"",227,""
286,20211231,S08000022,"",New Outpatient,Z9,d,12311,"",4413,"",46,"",280,""
287,20221231,S08000022,"",New Outpatient,Z9,d,13522,"",5465,"",57,"",339.9,""
288,20130630,S08000024,"",New Outpatient,Z9,d,61194,"",6903,"",35,"",87,""
289,20140630,S08000024,"",New Outpatient,Z9,d,62734,"",6821,"",35,"",86,""
290,20150630,S08000024,"",New Outpatient,Z9,d,59805,"",9029,"",36,"",96,""
291,20160630,S08000024,"",New Outpatient,Z9,d,61277,"",8933,"",35,"",96,""
292,20170630,S08000024,"",New Outpatient,Z9,d,59063,"",10646,"",33,"",125,""
293,20180630,S08000024,"",New Outpatient,Z9,d,61307,"",14590,"",36,"",174,""
294,20190630,S08000024,"",New Outpatient,Z9,d,63576,"",18323,"",42,"",181,""
295,20200630,S08000024,"",New Outpatient,Z9,d,27210,"",6536,"",15,"",169,""
296,20210630,S08000024,"",New Outpatient,Z9,d,51532,"",13430,"",32,"",283,""
297,20220630,S08000024,"",New Outpatient,Z9,d,53975,"",15217,"",34,"",261,""
298,20130930,S08000024,"",New Outpatient,Z9,d,60982,"",7224,"",35,"",88,""
299,20140930,S08000024,"",New Outpatient,Z9,d,62673,"",9011,"",37,"",91,""
300,20150930,S08000024,"",New Outpatient,Z9,d,61371,"",11745,"",39,"",105,""
301,20160930,S08000024,"",New Outpatient,Z9,d,58023,"",10718,"",38,"",112,""
302,20170930,S08000024,"",New Outpatient,Z9,d,56608,"",12138,"",36,"",148,""
303,20180930,S08000024,"",New Outpatient,Z9,d,59714,"",16302,"",40,"",182,""
304,20190930,S08000024,"",New Outpatient,Z9,d,62797,"",15298,"",38,"",168,""
305,20200930,S08000024,"",New Outpatient,Z9,d,37638,"",10585,"",21,"",231,""
306,20210930,S08000024,"",New Outpatient,Z9,d,52700,"",14148,"",33,"",292,""
307,20220930,S08000024,"",New Outpatient,Z9,d,52967,"",14765,"",34,"",260,""
308,20130331,S08000024,"",New Outpatient,Z9,d,58019,"",7255,"",36,"",89,""
309,20140331,S08000024,"",New Outpatient,Z9,d,62861,"",8770,"",36,"",93,""
310,20150331,S08000024,"",New Outpatient,Z9,d,60715,"",9153,"",39,"",97,""
311,20160331,S08000024,"",New Outpatient,Z9,d,61922,"",9032,"",36,"",100,""
312,20170331,S08000024,"",New Outpatient,Z9,d,64499,"",15563,"",37,"",153,""
313,20180331,S08000024,"",New Outpatient,Z9,d,60355,"",15919,"",37,"",180,""
314,20190331,S08000024,"",New Outpatient,Z9,d,63139,"",19985,"",42,"",191,""
